WatchedDate,Title,Directors,Year,Rating
07/18/1998, Aeroplane Flight and Wreck (Piloted by M. Cody), [unknown], 1910, 40
07/18/1998, A Fire in a Burlesque Theater, A.E. Weed, 1904, 56
07/18/1998, Airy Fairy Lilliam Tries on Her New Corsets, F.A. Dobson, 1905, 59
07/18/1998, From Show Girl to Burlesque Queen, A.E. Weed, 1903, 43
07/18/1998, Troubles of a Manager of a Burlesque Show, A.E. Weed, 1904, 53
07/18/1998, The Great Train Robbery, William S. Porter, 1903, 73
07/18/1998, The Whole Dam Family and the Dam Dog, William S. Porter, 1905, 57
07/18/1998, Golden Beetle, [Pathé Frères], 1907, 60
07/18/1998, The Hanging Garden, Thom Fitzgerald, 1997, 47
07/19/1998, Workers Leaving The Lumière Factory in Lyon [I], Louis Lumière, 1896, 67
07/19/1998, Baby's Dinner, Louis Lumière, 1895, 65
07/19/1998, Demolition of a Wall, Louis Lumière, 1896, 68
07/19/1998, The Sprinkler Sprinkled, Louis Lumière, 1895, 68
07/19/1998, The Photographical Congress Arrives in Lyon, Louis Lumière, 1895, 53
07/19/1998, Arrival of a train at La Ciotat, Louis Lumière, 1897, 72
07/19/1998, Card Game, Louis Lumière, 1896, 59
07/19/1998, Boat Leaving the Port, Louis Lumière, 1897, 68
07/19/1998, Leaving Jerusalem by Railway, Alexandre Promio, 1897, 67
07/19/1998, Snowball Fight, Louis Lumière, 1897, 71
07/19/1998, A Fire Run, Louis Lumière, 1896, 57
07/19/1998, Niagara Falls, Alexandre Promio, 1896, 57
07/19/1998, Spain: Bullfight [I], Louis Lumière, 1896, 67
07/19/1998, Rough Sea at Dover, Brit Acres & Robert W. Paul, 1895, 50
07/19/1998, Come Along Do!, Robert W. Paul, 1898, 51
07/19/1998, The Derby, Robert W. Paul, 1896, 50
07/19/1998, The Countryman and the Cinematograph, Robert W. Paul, 1901, 58
07/19/1998, A Chess Dispute, Robert W. Paul, 1903, 58
07/19/1998, An Extraordinary Cab Accident, Walter R. Booth & Robert W. Paul, 1903, 52
07/19/1998, Buy Your Own Cherries, Robert W. Paul, 1904, 55
07/19/1998, The '?' Motorist, Walter R. Booth, 1906, 60
07/19/1998, The Miller and the Sweep, George Albert Smith, 1898, 52
07/19/1998, The Kiss in the Tunnel, George Albert Smith, 1899, 55
07/19/1998, Let Me Dream Again, George Albert Smith, 1900, 56
07/19/1998, Grandma's Reading Glass, George Albert Smith, 1900, 52
07/19/1998, As Seen Through the Telescope, George Albert Smith, 1900, 53
07/19/1998, The Sick Kitten, George Albert Smith, 1903, 48
07/19/1998, Mary Jane's Mishap: or, Don't Fool With the Paraffin, George Albert Smith, 1903, 53
07/19/1998, A Daring Daylight Burglary, Frank Mottershaw, 1903, 51
07/19/1998, Desperate Poaching Affray, William Haggar, 1903, 51
07/19/1998, The Kiss in the Tunnel, Riley Brothers, 1899, 53
07/19/1998, Ladies Skirts Nailed to a Fence, Bamforth Films, 1900, 49
07/19/1998, The Biter Bit, Riley Brothers, 1900, 52
07/19/1998, Rough Sea, Bamforth Films, 1900, 51
07/19/1998, Attack on a China Mission--Blue Jacket to the Rescue, James Williamson, 1900, 51
07/19/1998, The Big Swallow, James Williamson, 1901, 55
07/19/1998, Stop Thief!, James Williamson, 1901, 55
07/19/1998, Fire!, James Williamson, 1901, 53
07/19/1998, An Interesting Story, James Williamson, 1904, 52
07/19/1998, Hands on a Hardbody, the Documentary, S.R. Bindler, 1996, 75
07/22/1998, Smoke Signals, Chris Eyre, 1998, 28
07/25/1998, How it Feels to Be Run Over, Cecil M. Hepworth, 1900, 58
07/25/1998, The Explosion of a Motor Car, Cecil M. Hepworth, 1900, 57
07/25/1998, Rescued By Rover, Lewin Fitzhamon & Cecil M. Hepworth, 1905, 59
07/25/1998, The Other Side of the Hedge, Lewin Fitzhamon, 1905, 61
07/25/1998, That Fatal Sneeze, Lewin Fitzhamon, 1907, 51
07/25/1998, A Visit to Peek Fream & Co.'s Biscuit Works, Cricks & Martin Films, 1906, 54
07/25/1998, A Day in the Life of a Coal Miner, Kineto Films, 1910, 49
07/25/1998, What is Seen Through a Keyhole, Ferdinand Zecca, 1901, 51
07/25/1998, Story of a Crime, Ferdinand Zecca, 1901, 68
07/25/1998, Ali Baba, Ferdinand Zecca, 1902, 64
07/25/1998, Rêve et réalité, Ferdinand Zecca, 1901, 64
07/25/1998, Revolution in Russia, Lucien Nonguet, 1905, 50
07/25/1998, Aladdin and His Wonder Lamp, Albert Capellani, 1906, 64
07/25/1998, The Runaway Horse, Louis J. Gasnier, 1908, 54
07/25/1998, A Narrow Escape, Pathé Frères, 1908, 52
07/25/1998, Magic Bricks, Pathé Frères, 1908, 50
07/25/1998, Dewar's Scotch Whisky, International Film Mfg. Company, 1898, 49
07/25/1998, The Gay Shoe Clerk, William S. Porter, 1903, 62
07/25/1998, Dream of a Rarebit Fiend, William S. Porter, 1906, 65
07/26/1998, Small Soldiers, Joe Dante, 1998, 46
07/26/1998, Full Speed, Gaël Morel, 1996, 67
07/26/1998, Saving Private Ryan, Steven Spielberg, 1998, 65
07/29/1998, Henry Fool, Hal Hartley, 1997, 80
08/01/1998, The Untamable Whiskers, Georges Méliès, 1904, 62
08/01/1998, The Cook in Trouble, Georges Méliès, 1904, 61
08/01/1998, Tchin-Chao, the Chinese Conjuror, Georges Méliès, 1904, 60
08/01/1998, The Wonderful Living Fan, Georges Méliès, 1904, 64
08/01/1998, The Mermaid, Georges Méliès, 1904, 76
08/01/1998, The Living Playing Cards, Georges Méliès, 1905, 65
08/01/1998, The Black Imp, Georges Méliès, 1905, 65
08/01/1998, The Enchanted Sedan Chair, Georges Méliès, 1905, 67
08/01/1998, The Scheming Gambler's Paradise, Georges Méliès, 1905, 66/
08/01/1998, The Hilarious Posters, Georges Méliès, 1906, 67
08/01/1998, The Mysterious Retort, Georges Méliès, 1906, 67
08/01/1998, The Eclipse: Courtship of the Sun and Moon, Georges Méliès, 1907, 69
08/01/1998, Good Glue Sticks, Georges Méliès, 1907, 61
08/01/1998, Long Distance Wireless Photography, Georges Méliès, 1908, 66
08/01/1998, The Impossible Voyage, Georges Méliès, 1904, 69
08/01/1998, Gone With the Wind, Victor Fleming, 1939, 63
08/02/1998, Iola's Promise, D.W. Griffith, 1912, 65
08/02/1998, The Goddess of Sagebrush Gulch, D.W. Griffith, 1912, 57
08/02/1998, The Narrow Road, D.W. Griffith, 1912, 58
08/08/1998, Making a Living, Henry Lehrman, 1914, 47
08/08/1998, Kid Auto Races at Venice, Henry Lehrman, 1914, 66
08/08/1998, A Busy Day, Charles Chaplin, 1914, 60
08/08/1998, Mabel's Married Life, Charles Chaplin, 1914, 56
08/08/1998, Laughing Gas, Charles Chaplin, 1914, 50
08/08/1998, The New Janitor, Charles Chaplin, 1914, 44
08/08/1998, Buffalo '66, Vincent Gallo, 1998, 75
08/09/1998, His Trysting Place, Charles Chaplin, 1914, 45
08/09/1998, Getting Acquainted, Charles Chaplin, 1914, 41
08/09/1998, The Fatal Mallet, Mack Sennett, 1914, 43
