WatchedDate,Title,Directors,Year,FsmcRating,Rating,
1998-07-18, Moscow Clad in Snow, [Pathé Frères], 1909, 45
1998-07-18, Aeroplane Flight and Wreck (Piloted by M. Cody), [unknown], 1910, 40
1998-07-18, A Fire in a Burlesque Theater, A.E. Weed, 1904, 56
1998-07-18, Airy Fairy Lilliam Tries on Her New Corsets, F.A. Dobson, 1905, 59
1998-07-18, From Show Girl to Burlesque Queen, A.E. Weed, 1903, 43
1998-07-18, Troubles of a Manager of a Burlesque Show, A.E. Weed, 1904, 53
1998-07-18, The Great Train Robbery, William S. Porter, 1903, 73
1998-07-18, The Whole Dam Family and the Dam Dog, William S. Porter, 1905, 57
1998-07-18, Golden Beetle, [Pathé Frères], 1907, 60
1998-07-18, The Hanging Garden, Thom Fitzgerald, 1997, 47
1998-07-19, Workers Leaving The Lumière Factory in Lyon [I], Louis Lumière, 1896, 67
1998-07-19, Baby's Dinner, Louis Lumière, 1895, 65
1998-07-19, Demolition of a Wall, Louis Lumière, 1896, 68
1998-07-19, The Sprinkler Sprinkled, Louis Lumière, 1895, 68
1998-07-19, The Photographical Congress Arrives in Lyon, Louis Lumière, 1895, 53
1998-07-19, Arrival of a train at La Ciotat, Louis Lumière, 1897, 72
1998-07-19, Card Game, Louis Lumière, 1896, 59
1998-07-19, Boat Leaving the Port, Louis Lumière, 1897, 68
1998-07-19, Leaving Jerusalem by Railway, Alexandre Promio, 1897, 67
1998-07-19, Snowball Fight, Louis Lumière, 1897, 71
1998-07-19, A Fire Run, Louis Lumière, 1896, 57
1998-07-19, Niagara Falls, Alexandre Promio, 1896, 57
1998-07-19, Spain: Bullfight [I], Louis Lumière, 1896, 67
1998-07-19, Rough Sea at Dover, Brit Acres & Robert W. Paul, 1895, 50
1998-07-19, Come Along Do!, Robert W. Paul, 1898, 51
1998-07-19, The Derby, Robert W. Paul, 1896, 50
1998-07-19, The Countryman and the Cinematograph, Robert W. Paul, 1901, 58
1998-07-19, A Chess Dispute, Robert W. Paul, 1903, 58
1998-07-19, An Extraordinary Cab Accident, Walter R. Booth & Robert W. Paul, 1903, 52
1998-07-19, Buy Your Own Cherries, Robert W. Paul, 1904, 55
1998-07-19, The '?' Motorist, Walter R. Booth, 1906, 60
1998-07-19, The Miller and the Sweep, George Albert Smith, 1898, 52
1998-07-19, The Kiss in the Tunnel, George Albert Smith, 1899, 55
1998-07-19, Let Me Dream Again, George Albert Smith, 1900, 56
1998-07-19, Grandma's Reading Glass, George Albert Smith, 1900, 52
1998-07-19, As Seen Through the Telescope, George Albert Smith, 1900, 53
1998-07-19, The Sick Kitten, George Albert Smith, 1903, 48
1998-07-19, Mary Jane's Mishap: or, Don't Fool With the Paraffin, George Albert Smith, 1903, 53
1998-07-19, A Daring Daylight Burglary, Frank Mottershaw, 1903, 51
1998-07-19, Desperate Poaching Affray, William Haggar, 1903, 51
1998-07-19, The Kiss in the Tunnel, Riley Brothers, 1899, 53
1998-07-19, Ladies Skirts Nailed to a Fence, Bamforth Films, 1900, 49
1998-07-19, The Biter Bit, Riley Brothers, 1900, 52
1998-07-19, Rough Sea, Bamforth Films, 1900, 51
1998-07-19, Attack on a China Mission--Blue Jacket to the Rescue, James Williamson, 1900, 51
1998-07-19, The Big Swallow, James Williamson, 1901, 55
1998-07-19, Stop Thief!, James Williamson, 1901, 55
1998-07-19, Fire!, James Williamson, 1901, 53
1998-07-19, An Interesting Story, James Williamson, 1904, 52
1998-07-19, Hands on a Hardbody, the Documentary, S.R. Bindler, 1996, 75
1998-07-22, Smoke Signals, Chris Eyre, 1998, 28
